Trial,R=250,R=500,R=1000,R=2000
0,5598,9682,58184,177350
1,5369,11983,35557,135397
2,9359,22955,70779,235119
3,8747,27116,77534,220645
4,3857,12934,52345,341983
5,7581,20550,32950,190654
6,7568,19939,101628,154271
7,7480,26097,32200,241093
8,5816,51026,44385,238810
9,6601,8042,63473,197667
10,12867,28462,105286,225167
11,10335,37593,54326,178570
12,4500,16046,36495,77387
13,2713,27192,58632,199430
14,7467,28351,65593,183378
15,6856,13139,52814,180480
16,4136,17863,46692,169307
17,12468,16201,60838,108666
18,3320,14440,59073,150402
19,9266,19328,56420,308652
20,6597,21872,27313,311867
21,5017,13348,74365,150298
22,4648,15682,53213,217602
23,3318,17422,45860,194332
24,7449,23003,82546,151597
25,9107,14285,44719,114337
26,7134,29973,34050,174934
27,9069,13624,43190,346584
28,10886,22055,70045,137419
29,9079,31957,214636,144972
30,7539,18472,60659,548690
31,12869,36030,31390,249544
32,4650,14694,44317,192757
33,5655,11135,59803,191186
34,8198,39874,18569,77637
35,4015,12123,46320,387239
36,11084,10053,119744,211327
37,7601,34817,31976,187482
38,7605,22026,50271,97961
39,6647,22888,59127,262042
40,7655,19231,71919,91794
41,4970,14556,66272,189980
42,6511,14678,78069,147936
43,6068,9535,42608,128266
44,6331,17589,44239,116677
45,5453,13305,50203,157788
46,15617,19042,101131,381910
47,4117,17893,99174,164741
48,16823,16512,71240,283796
49,3497,36866,48160,239247
50,6859,29830,46449,141077
51,5309,19573,68336,198971
52,4509,12665,29831,278286
53,5256,20733,37897,118238
54,6684,29623,64295,84557
55,5883,24962,93208,239612
56,4492,34241,30866,187120
57,3818,38762,78464,118911
58,4160,16263,68219,135713
59,4199,21178,108790,137670
60,4401,12138,45775,345155
61,9357,23464,34186,391954
62,10227,26525,41650,188281
63,6740,11319,58267,133768
64,4637,23012,75023,254445
65,8213,25755,41915,304227
66,4802,39108,83802,151093
67,16025,21168,119319,163380
68,7241,30318,88470,132156
69,3452,33760,67138,305983
70,4502,47908,59163,358604
71,9040,10285,33407,143024
72,8739,22855,59196,159453
73,6623,23295,45213,110872
74,6733,21376,120956,104912
75,5331,14358,81253,109430
76,9452,17997,81312,166478
77,6664,16778,45136,76195
78,11396,25375,89561,102355
79,2602,26812,71815,203254
80,7149,13652,93983,153462
81,8149,10128,40686,138350
82,7648,30056,52653,139882
83,6703,17832,27573,155007
84,6206,12467,60455,119896
85,5686,8535,126428,131706
86,5055,9296,48138,271708
87,4769,20184,57568,182536
88,6244,18508,38169,240370
89,6409,13200,44665,193636
