Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500
0,5942,26871,52033,57696,105077,417780
1,6837,6935,108561,133760,213180,422447
2,17591,17463,89782,238080,111759,474209
3,4912,43220,68479,187859,346689,266070
4,12380,20150,35612,81175,141161,323281
5,5192,29968,128731,101004,157586,243234
6,4416,15865,54790,156489,238834,105990
7,3517,9346,53969,83402,233773,177228
8,16258,12587,76892,216591,296300,352919
9,9754,13021,84433,197023,104144,366057
10,8582,16474,129239,81084,442788,269207
11,7247,8786,41685,220917,132900,149800
12,9217,17397,48986,166092,87079,404820
13,4419,24598,55533,121224,214536,324678
14,5387,16873,56338,174996,194525,321746
15,5401,13628,53434,97209,98508,591893
16,6080,14771,40020,126335,167977,603654
17,5494,16837,59184,95679,273215,157415
18,9108,18218,46681,89366,211464,153054
19,3742,32725,87182,81202,153092,147963
20,8409,7875,35319,48425,122261,484676
21,4530,18582,93918,92041,168251,258863
22,4984,13067,68372,62890,268916,157079
23,5697,12036,76678,130260,258816,566390
24,6504,26744,39125,250752,215716,156393
25,5106,12805,36057,130849,177899,167185
26,10278,21799,58814,81978,295445,181644
27,5914,10099,180820,154680,125739,259807
28,9555,16598,35517,73502,236332,623606
29,4851,19799,125711,119700,100824,517756
30,3033,15040,63910,122462,120976,558383
31,8054,10476,58228,125238,246278,323367
32,5530,13987,52509,117247,161739,292869
33,4214,12763,71975,203560,231081,464270
34,8707,19208,63239,107978,210451,236834
35,7723,30164,49881,124259,203358,281013
36,4535,12915,77986,183444,206771,206424
37,5113,13373,39617,243940,489329,320697
38,4203,31103,121058,187127,215861,429398
39,3686,20889,52559,62826,269086,229851
40,5780,11305,55935,110360,262621,382619
41,11044,29990,123243,69653,192507,174536
42,9420,15235,64531,108256,110241,338806
43,6276,27274,53678,94184,179127,200386
44,15607,25861,46172,79111,315152,227266
45,4196,26737,33203,69434,359455,251379
46,7231,12892,58877,116485,103642,346637
47,3349,14023,34187,254877,223066,209511
48,7504,21466,39692,130060,149164,373804
49,5499,14636,92967,82988,122615,148940
50,12388,10747,92176,61782,135672,209248
51,5960,25181,41079,73522,327589,279396
52,7612,27560,67372,91362,281338,230069
53,10284,16606,116768,123803,82786,374026
54,3603,24634,44377,155046,105771,227533
55,5678,15771,67619,98413,171371,244873
56,9808,22296,42174,80926,87244,547071
57,5094,22064,43838,73280,111872,445906
58,5747,18740,68755,136329,187489,252248
59,8434,25646,140271,123351,102962,264051
