Trial,R=250,R=500,R=1000,R=1500,R=2000,R=2500,R=3000
0,5108,16939,47382,47522,388090,137577,303293
1,11214,24759,93796,94866,327520,243309,439994
2,4089,19788,60129,136485,287774,199595,317437
3,7752,29690,76678,92420,91668,269223,202689
4,5270,41704,41884,104658,153125,205021,281549
5,6211,20443,64933,205294,264384,136374,371634
6,12173,22496,46151,128126,156340,248724,386812
7,6454,10072,47831,82673,145736,198615,773153
8,7029,13240,53160,97616,130146,235256,182767
9,8636,19262,34301,80506,83367,228454,295423
10,6583,16358,100538,168255,415288,192237,221046
11,9653,9526,90314,77089,285436,85466,237794
12,10279,31477,154294,293599,296240,246411,206452
13,8549,19085,103260,54843,133881,177034,493179
14,10303,19843,33655,105547,182070,245366,363654
15,7144,14876,66568,129949,275939,425023,612137
16,6247,23926,37877,140945,195498,307128,320696
17,6835,17224,32145,74828,195288,322315,373084
18,4400,16046,54649,92339,391484,216788,312367
19,5932,25421,74253,199076,188412,234475,214420
20,11942,14658,130874,132781,134146,218691,359858
21,4083,24039,113146,97340,327275,327338,289473
22,10445,15434,39038,146208,243173,242446,470349
23,4573,28732,42858,226566,211030,285792,649401
24,2558,15865,32875,156218,219899,240804,287738
25,18836,22953,45385,77430,119795,277859,201678
26,5581,16323,86182,268987,217729,491220,470129
27,8043,23837,51512,109033,158195,183935,213329
28,5972,25366,56030,100403,161863,277221,494865
29,4678,14598,91596,119446,342557,421244,472396
30,3682,35176,85831,81227,200607,181927,297220
31,6477,17382,126820,212659,189636,498834,242404
32,3172,12457,76083,116809,292322,558612,346189
33,4731,21435,70675,57931,205540,284229,377093
34,12856,14953,27695,100418,143866,122661,529483
35,8231,12705,33424,131964,157455,460259,493390
36,3521,41108,91196,148111,364120,403280,180822
37,3892,22174,53992,93857,108417,355549,348670
38,3017,24210,89291,136994,151788,195273,1000671
39,2885,14753,48402,143182,129886,297603,261051
40,4576,21581,59618,99206,218893,179926,129388
41,3798,15469,69503,226366,166326,235394,500439
42,4405,26620,74221,91996,192796,368861,258359
43,8727,14008,46793,40755,295948,932655,908600
44,4518,16471,66520,46699,149104,180386,355534
45,17066,13208,69194,233275,227857,253259,500078
46,5548,14311,82864,101899,226658,268525,315634
47,6654,12344,52027,170439,175514,149989,266521
48,3438,26285,67787,98371,128729,185320,1268318
49,6242,19911,90565,57395,265632,635764,308030
50,5023,20030,29168,103581,146327,389267,520304
51,3833,23649,64335,191810,266794,222163,362098
52,5376,18820,82734,42506,187968,434249,426191
53,7957,15639,50469,127489,136761,221859,246243
54,3534,35498,91226,140529,169144,221115,253695
55,4715,12602,41406,203354,323232,143143,216652
56,8938,16762,67953,109560,406431,223929,371987
57,3720,19352,102129,142520,435162,186942,234014
58,8072,14463,56451,95671,220710,442902,758906
59,9361,14372,55252,102617,184168,162986,304673
60,8098,12388,79836,95831,156966,243703,487702
61,9234,32448,112912,118936,107754,158549,380725
62,7874,17611,33249,126011,219060,220492,317333
63,13561,21105,41903,135076,346897,217897,314826
64,5695,54162,111553,90405,96249,275422,516324
65,4964,27459,85716,133180,167130,597956,224370
66,4948,15039,67326,82750,272099,378311,442317
67,9803,19017,41558,132257,602255,287425,258076
68,9039,17811,28996,176559,238741,414685,649840
69,6729,47109,98933,106802,253328,260568,478925
70,6421,35185,40517,102374,151254,156804,503312
71,5136,9700,47799,61992,332905,281810,338204
72,4688,17020,89925,99359,338349,224183,759397
73,8204,14401,42150,107970,401056,472166,750903
74,7283,30170,97687,153297,129144,154624,247544
75,5220,27670,61274,242037,201392,159731,377626
76,16300,12689,62998,80281,110414,210888,322117
77,8124,14572,69435,56031,280151,303478,446114
78,13211,7593,100046,72250,186441,417127,274354
79,2280,34706,93478,44286,178046,255909,544304
80,14512,13846,51494,92732,84837,443614,346358
